onnx,vnnlib,strategy,mask,n_splits,original_r,original_t,0.001_r,0.001_t,0.01_r,0.01_t,0.1_r,0.1_t,0.2_r,0.2_t,0.4_r,0.4_t,0.8_r,0.8_t,1.0_r,1.0_t,2.0_r,2.0_t,4.0_r,4.0_t,8.0_r,8.0_t
mnist-net_256x6,prop_0_0.03,random,stable,217,unsat,1.5631,unsat,8.2743,unsat,8.0336,unsat,8.2416,unsat,8.3442,unsat,8.2008,unsat,8.2372,unsat,8.2523,unsat,8.1746,unsat,8.0375,unsat,8.2426
mnist-net_256x6,prop_1_0.03,random,stable,212,unsat,119.0882,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330
mnist-net_256x6,prop_2_0.03,random,stable,205,unsat,3.963,timeout,330,unsat,186.345,unsat,181.1902,unsat,186.1833,unsat,185.008,unsat,183.3701,unsat,183.1304,unsat,182.7333,unsat,177.1317,unsat,178.608
mnist-net_256x6,prop_3_0.03,random,stable,227,unsat,1.5804,unsat,4.8671,unsat,4.8398,unsat,4.7863,unsat,4.8806,unsat,4.8337,unsat,4.8248,unsat,4.8885,unsat,4.8219,unsat,4.8295,unsat,4.779
mnist-net_256x6,prop_4_0.03,random,stable,226,unsat,1.5222,unsat,10.508,unsat,10.7134,unsat,10.3247,unsat,10.6445,unsat,10.4974,unsat,10.44,unsat,10.476,unsat,10.6572,unsat,10.4489,unsat,10.4132
mnist-net_256x6,prop_5_0.03,random,stable,213,unsat,1.5553,unsat,163.6719,unsat,156.3234,unsat,154.3421,unsat,156.0763,unsat,154.7675,unsat,155.1225,unsat,157.4418,unsat,156.1477,unsat,155.8034,unsat,156.5736
mnist-net_256x6,prop_6_0.03,random,stable,197,sat,0.6444,sat,0.7133,sat,0.7158,sat,0.7283,sat,0.7375,sat,0.7416,sat,0.7207,sat,0.7216,sat,0.7309,sat,0.7197,sat,0.7444
mnist-net_256x6,prop_7_0.03,random,stable,231,unsat,45.8034,unsat,240.453,timeout,330,error,-1,error,-1,unsat,196.1238,unsat,201.8306,unsat,200.5871,error,-1,error,-1,timeout,330
mnist-net_256x6,prop_8_0.03,random,stable,236,unsat,1.822,unsat,8.9943,unsat,9.3062,unsat,9.3265,unsat,9.4158,unsat,9.3655,unsat,8.87,unsat,9.4023,unsat,9.2579,unsat,9.4944,unsat,9.2251
mnist-net_256x6,prop_9_0.03,random,stable,228,unsat,82.1135,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330
mnist-net_256x6,prop_10_0.03,random,stable,229,unsat,1.5773,unsat,8.5865,unsat,8.637,unsat,8.4768,unsat,8.4988,unsat,8.4656,unsat,8.5265,unsat,8.5234,unsat,8.4395,unsat,8.7222,unsat,8.4382
mnist-net_256x6,prop_11_0.03,random,stable,223,unsat,1.5208,unsat,155.5723,unsat,144.4685,unsat,142.835,unsat,142.6408,unsat,142.9027,unsat,143.5927,unsat,144.0208,unsat,143.6524,unsat,144.4312,unsat,144.1287
mnist-net_256x6,prop_12_0.03,random,stable,238,unsat,4.1968,timeout,330,unsat,218.5,unsat,233.6203,unsat,217.1252,unsat,220.5619,unsat,233.1234,unsat,234.1525,unsat,245.1718,unsat,243.814,unsat,237.2938
mnist-net_256x6,prop_13_0.03,random,stable,228,unsat,1.5802,unsat,146.0949,unsat,143.5879,unsat,143.4601,unsat,144.9966,unsat,144.0696,unsat,144.2492,unsat,145.0341,unsat,142.9301,unsat,144.7573,unsat,143.7834
mnist-net_256x6,prop_14_0.03,random,stable,228,unsat,1.8022,unsat,205.6472,unsat,163.7402,unsat,166.8395,unsat,164.4944,unsat,168.881,unsat,164.8013,unsat,164.6514,unsat,165.5287,unsat,164.0012,unsat,164.1433
mnist-net_256x6,prop_0_0.05,random,stable,197,unsat,109.5402,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330
mnist-net_256x6,prop_1_0.05,random,stable,SKIPPED,timeout,300,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
mnist-net_256x6,prop_2_0.05,random,stable,SKIPPED,timeout,300,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
mnist-net_256x6,prop_3_0.05,random,stable,206,unsat,113.9489,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330
mnist-net_256x6,prop_4_0.05,random,stable,210,unsat,116.4892,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330
mnist-net_256x6,prop_5_0.05,random,stable,196,unsat,184.541,timeout,330,timeout,330,timeout,330,timeout,330mnist-net_256x6,prop_6_0.05,random,stable,156,sat,0.7591,sat,0.7569,sat,0.7021,sat,0.7145,sat,0.7001,sat,0.6981,sat,0.7192,sat,0.7587,sat,0.7245,sat,0.7269,sat,0.711
mnist-net_256x6,prop_7_0.05,random,stable,SKIPPED,timeout,300,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
mnist-net_256x6,prop_8_0.05,random,stable,216,unsat,88.33,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330
mnist-net_256x6,prop_9_0.05,random,stable,SKIPPED,timeout,300,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
mnist-net_256x6,prop_10_0.05,random,stable,207,unsat,127.5436,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330
mnist-net_256x6,prop_11_0.05,random,stable,204,unsat,117.3801,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330
mnist-net_256x6,prop_12_0.05,random,stable,214,unsat,195.7475,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330
mnist-net_256x6,prop_13_0.05,random,stable,211,unsat,148.1915,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330
mnist-net_256x6,prop_14_0.05,random,stable,201,unsat,136.5513,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330
