onnx,vnnlib,strategy,mask,n_splits,original_r,original_t,0.001_r,0.001_t,0.01_r,0.01_t,0.1_r,0.1_t,0.2_r,0.2_t,0.4_r,0.4_t,0.8_r,0.8_t,1.0_r,1.0_t,2.0_r,2.0_t,4.0_r,4.0_t,8.0_r,8.0_t
tllBench_n=2_N=M=48_m=1_instance_5_0_converted,property_N=48_0,random,stable,1336,sat,0.8583502769470215,sat,10.728492498397827,sat,10.748433351516724,sat,10.81915831565857,sat,10.729462623596191,sat,10.876350402832031,sat,10.697996139526367,sat,10.76240062713623,sat,10.708615779876709,sat,10.740680694580078,sat,10.75864839553833
tllBench_n=2_N=M=48_m=1_instance_5_1_converted,property_N=48_1,random,stable,1280,sat,0.8778018951416016,sat,10.690747261047363,sat,10.585338354110718,sat,10.577765703201294,sat,10.577855348587036,sat,10.780521392822266,sat,10.626888751983643,sat,10.731420278549194,sat,10.722076416015625,sat,10.598999738693237,sat,10.74176287651062
tllBench_n=2_N=M=48_m=1_instance_5_2_converted,property_N=48_2,random,stable,1752,unsat,3.1459743976593018,unsat,14.78880262374878,unsat,14.653964757919312,unsat,14.556972742080688,unsat,14.725407838821411,unsat,14.464246034622192,unsat,14.540024280548096,unsat,14.290578603744507,unsat,14.330092906951904,unsat,14.264535427093506,unsat,14.286754131317139
tllBench_n=2_N=M=48_m=1_instance_5_3_converted,property_N=48_3,random,stable,1334,sat,0.8416175842285156,sat,10.69829535484314,sat,10.722128629684448,sat,10.890909671783447,sat,10.7378408908844,sat,10.855628252029419,sat,10.578025102615356,sat,10.752379894256592,sat,10.698745727539062,sat,10.669357776641846,sat,10.590809345245361
tllBench_n=2_N=M=56_m=1_instance_6_0_converted,property_N=56_0,random,stable,2122,unsat,4.206868648529053,unsat,26.843241214752197,unsat,26.429855823516846,unsat,26.632274866104126,unsat,26.305051803588867,unsat,26.420920372009277,unsat,26.36144208908081,unsat,25.14059615135193,unsat,25.08733344078064,unsat,25.156189680099487,unsat,25.312854528427124
tllBench_n=2_N=M=56_m=1_instance_6_1_converted,property_N=56_1,random,stable,1778,sat,1.1310646533966064,sat,19.322125673294067,sat,19.387209177017212,sat,19.222332000732422,sat,19.382227420806885,sat,19.23638081550598,sat,19.20335340499878,sat,19.308664321899414,sat,19.330129623413086,sat,19.225293397903442,sat,19.346184730529785
tllBench_n=2_N=M=56_m=1_instance_6_2_converted,property_N=56_2,random,stable,1744,sat,1.154693841934204,sat,19.309736251831055,sat,19.206533193588257,sat,19.093557834625244,sat,19.299062252044678,sat,19.173900365829468,sat,19.168991088867188,sat,19.11189031600952,sat,19.00028944015503,sat,19.19452166557312,sat,19.072681188583374
tllBench_n=2_N=M=56_m=1_instance_6_3_converted,property_N=56_3,random,stable,2056,sat,1.156996250152588,sat,20.310953855514526,sat,19.873438596725464,sat,19.93235421180725,sat,19.868849515914917,sat,19.880784273147583,sat,19.98995590209961,sat,20.06076669692993,sat,20.411502599716187,sat,19.794551610946655,sat,20.36016535758972
tllBench_n=2_N=M=64_m=1_instance_7_0_converted,property_N=64_0,random,stable,2332,unsat,4.137126207351685,unsat,37.58013725280762,unsat,37.061869382858276,unsat,36.87574028968811,unsat,36.6529746055603,unsat,37.14037227630615,unsat,36.860265016555786,unsat,36.30834484100342,unsat,36.06635308265686,unsat,35.969459772109985,unsat,36.31235361099243
tllBench_n=2_N=M=64_m=1_instance_7_1_converted,property_N=64_1,random,stable,2332,sat,1.8960497379302979,sat,33.301560401916504,sat,33.12448191642761,sat,33.45796489715576,sat,33.49201464653015,sat,33.35155773162842,sat,33.297953844070435,sat,32.737940549850464,sat,32.783313512802124,sat,33.05178761482239,sat,32.80613875389099
tllBench_n=2_N=M=64_m=1_instance_7_2_converted,property_N=64_2,random,stable,2606,sat,1.5883235931396484,sat,33.462005615234375,sat,33.02362298965454,sat,33.15759611129761,sat,33.136518478393555,sat,33.43808031082153,sat,33.297717571258545,sat,33.3153600692749,sat,33.240665674209595,sat,33.53523564338684,sat,33.405096769332886
tllBench_n=2_N=M=64_m=1_instance_7_3_converted,property_N=64_3,random,stable,2284,unsat,4.21831202507019,unsat,36.63839364051819,unsat,36.94371056556702,unsat,36.90122652053833,unsat,37.05064916610718,unsat,36.79859471321106,unsat,36.60694479942322,unsat,36.65457606315613,unsat,36.153955698013306,unsat,36.51284408569336,unsat,36.28162336349487
