onnx,vnnlib,result, v1, t1, v2, t2, v3, t3
ACASXU_run2a_5_3_batch_2000_converted,prop_1,unsat,abcrown,3.8466206391652427,marabou,3.827,neuralsat,5.358833333333333
ACASXU_run2a_4_6_batch_2000_converted,prop_2,sat,abcrown,1.964962323506673,marabou,0.33033333333333337,neuralsat,1.6822333333333335
ACASXU_run2a_1_7_batch_2000_converted,prop_4,sat,abcrown,1.9671080112457275,marabou,0.20133333333333336,neuralsat,1.6623333333333334
ACASXU_run2a_2_4_batch_2000_converted,prop_2,sat,abcrown,1.9759867191314697,marabou,0.332,neuralsat,1.6662
ACASXU_run2a_2_2_batch_2000_converted,prop_2,sat,abcrown,1.9581193923950195,marabou,6.486999999999999,neuralsat,1.6641333333333332
ACASXU_run2a_5_7_batch_2000_converted,prop_1,unsat,abcrown,4.093013763427734,marabou,70.49233333333333,neuralsat,10.402000000000001
ACASXU_run2a_1_6_batch_2000_converted,prop_1,unsat,abcrown,3.791645606358846,marabou,2.8713333333333337,neuralsat,5.343566666666667
ACASXU_run2a_4_7_batch_2000_converted,prop_4,unsat,abcrown,3.081903616587321,marabou,0.25433333333333336,neuralsat,5.2044999999999995
ACASXU_run2a_5_9_batch_2000_converted,prop_3,unsat,abcrown,3.2317949136098227,marabou,0.06666666666666667,neuralsat,5.207833333333333
ACASXU_run2a_2_9_batch_2000_converted,prop_2,sat,abcrown,1.9731647968292236,marabou,36.70066666666667,neuralsat,1.8712
ACASXU_run2a_3_6_batch_2000_converted,prop_2,sat,abcrown,1.9744642575581868,marabou,24.922,neuralsat,1.6777666666666666
ACASXU_run2a_1_7_batch_2000_converted,prop_1,unsat,abcrown,3.7254045804341636,marabou,1.4296666666666666,neuralsat,5.148366666666667
ACASXU_run2a_4_8_batch_2000_converted,prop_2,sat,abcrown,1.9611202081044514,marabou,0.3586666666666667,neuralsat,1.6849
ACASXU_run2a_1_9_batch_2000_converted,prop_3,sat,abcrown,1.9637415409088135,marabou,0.18466666666666667,neuralsat,1.6417000000000002
ACASXU_run2a_2_2_batch_2000_converted,prop_4,unsat,abcrown,3.228983004887899,marabou,0.7333333333333334,neuralsat,5.367533333333333
ACASXU_run2a_2_1_batch_2000_converted,prop_1,unsat,abcrown,3.7900702158610025,marabou,3.8346666666666667,neuralsat,5.3613333333333335
ACASXU_run2a_1_5_batch_2000_converted,prop_2,sat,abcrown,6.2185704708099365,marabou,100.67266666666667,neuralsat,17.772666666666666
ACASXU_run2a_1_2_batch_2000_converted,prop_2,sat,abcrown,3.4708878993988037,marabou,26.545333333333332,neuralsat,2.3566333333333334
ACASXU_run2a_2_8_batch_2000_converted,prop_3,unsat,abcrown,2.873840093612671,marabou,0.06666666666666667,neuralsat,5.190233333333333
ACASXU_run2a_1_4_batch_2000_converted,prop_3,unsat,abcrown,3.2134389877319336,marabou,0.36366666666666664,neuralsat,5.2177
ACASXU_run2a_3_7_batch_2000_converted,prop_3,unsat,abcrown,2.875967264175415,marabou,0.06666666666666667,neuralsat,5.103433333333334
ACASXU_run2a_3_2_batch_2000_converted,prop_3,unsat,abcrown,3.3144306341807046,marabou,13.582666666666668,neuralsat,5.247366666666667
ACASXU_run2a_2_8_batch_2000_converted,prop_4,unsat,abcrown,3.469611088434855,marabou,0.4963333333333333,neuralsat,5.182766666666667
ACASXU_run2a_2_9_batch_2000_converted,prop_4,unsat,abcrown,2.899023453394572,marabou,0.06633333333333334,neuralsat,5.055499999999999
ACASXU_run2a_1_4_batch_2000_converted,prop_4,unsat,abcrown,3.2585925261179605,marabou,0.735,neuralsat,5.2203333333333335
